entity_type,id,url,license,attribution,style,tags
airport,2179,https://mybayutcdn.bayut.com/mybayut/wp-content/uploads/abu-dhabi-airport-terminal-1-7220-1024x640.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"uae,spacious"
airport,1128,https://www.cairo-airport.info/wp-content/uploads/2022/03/cairo-airport-cai.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"egypt,hub"
airport,1107,https://tse4.mm.bing.net/th/id/OIP.L98-O4HVQPdwxChjnDqp-gHaDW?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,wood,"ethiopia,hub"
airport,797,https://s38888.pcdn.co/wp-content/uploads/2023/03/CTIA.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"south africa,coastal"
airport,3316,https://thedesignair.files.wordpress.com/2015/03/image-3-aerial-view-of-jewel-changi-airport-2.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"modern,indoor,garden"
airport,2188,https://c8.alamy.com/comp/R5FD23/terminal-3-dubai-international-airport-dubai-uae-R5FD23.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"modern,hub"
airport,11051,https://images.adsttc.com/media/images/5ce3/0013/284d/d176/7b00/028d/large_jpg/1_HIA_Tim_Griffith_HOK.jpg?1558380556,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"modern,art,hub,spacious"
airport,3077,https://aviationsourcenews.com/wp-content/uploads/2024/11/HKIA-bird-1.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,steel,"glass,curved,modern"
airport,2359,https://thumbs.dreamstime.com/z/tokyo-international-airport-haneda-hnd-sign-japan-haneda-one-two-primary-airports-serve-greater-tokyo-area-base-181999175.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,clean,"japan,minimal"
airport,3930,https://s28477.pcdn.co/wp-content/uploads/2017/12/ICN_1-984x554.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"curved,greenery"
airport,3093,https://buildings.honeywell.com/content/dam/hbtbt/en/images/horizontal/case-indira-gandhi-international-airport-igia-new-delhi-2880x1440.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,art,"installations,modern,india"
airport,3131,https://www.arch2o.com/wp-content/uploads/2018/07/Arch2O-kempegowda-international-airport-hok-3.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,garden,"biophilic,wood"
airport,12087,https://tse1.mm.bing.net/th/id/OIP.Jx467U10U2KX3NUAxOSZ0wHaDP?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,spacious
airport,3136,https://s28477.pcdn.co/wp-content/uploads/2020/05/cochin_3-984x554.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,heritage,"wood,arches"
airport,3144,"https://static.tnn.in/thumb/msid-97976624,thumbsize-94210,width-1280,height-720,resizemode-75/97976624.jpg",CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"bright,india"
airport,1678,https://www.myswitzerland.com/-/media/st/gadmin/images/partner/strapa/flughafen%20zrich/03_airport_zurich_plane_92626.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"swiss,clean"
airport,507,https://tse2.mm.bing.net/th/id/OIP.OU0YJWOLPk-Jdq8sDDp8JgHaDz?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,steel,"T5,arched"
airport,340,https://tse4.mm.bing.net/th/id/OIP.caZbXLBazxvNeY2CrLqbaQHaE8?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"hub,germany"
airport,580,https://tse2.mm.bing.net/th/id/OIP.c8N0OOmRpo5WQ3qvnyt59QHaFj?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,netherlands
airport,1382,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2022/12/05140724/TERMINAL-ONE.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,wood,"curved,arches"
airport,1229,https://s28477.pcdn.co/wp-content/uploads/2018/01/MAD_1-984x554.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,color,"bamboo,waves"
airport,1555,https://s28477.pcdn.co/wp-content/uploads/2018/03/FCO_New_5-984x554.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,italy
airport,346,https://tse4.mm.bing.net/th/id/OIP.OmDx7-dcTEwExuldHRLB5AHaE8?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"bavaria,clean"
airport,13696,https://thumbs.dreamstime.com/b/istanbul-airport-iata-ist-icao-ltfm-main-international-airport-serving-istanbul-turkey-located-arnavutkoy-147017479.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,vault,"arches,spacious,modern"
airport,3484,https://www.dlrgroup.com/wp-content/uploads/2021/07/75_13225_00_N9_weblg.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"LAX,international"
airport,3797,http://newyorkyimby.com/wp-content/uploads/2017/01/John-F.-Kennedy-International-Airport.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"JFK,bright"
airport,3469,https://tse4.mm.bing.net/th/id/OIP.q0HQied0OcUFeb8PCI_adgHaEf?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,wood,"SFO,curved"
airport,193,http://www.world-airport-codes.com/content/uploads/2013/08/YYZ_alexander_cortez_verygoodairportbeenthere_n01zq5oaox.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,vault,"canada,hub"
airport,156,https://journeyable.org/wp-content/uploads/2024/01/Vancouver-International-Airport-Aerial-Shot.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,wood,"canada,biophilic"
airport,3670,"http://res.cloudinary.com/culturemap-com/image/upload/q_auto/ar_4:3,c_fill,g_faces:center,w_1200/v1479695938/photos/68943_original.jpg",CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"DFW,hub,spacious"
airport,3751,https://image.architonic.com/imgArc/project-1/4/5205148/Fentress-DenverAirport-09.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,fabric,"peaks,tents,white"
airport,3830,https://www.hok.com/wp-content/uploads/2019/05/OHare-International-Airport-Terminal-5-Exterior-1900-1600x1069.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,tunnel,"ORD,neon,art,color"
airport,3576,https://miami-airport.com/images/fine%20arts/Hall%20of%20Aviation/Image%202.jpg,CC-BY / CC0 (verify source),Wikimedia Commons or Local,color,"MIA,art,installation"
airport,1,https://www.ehp.gov.pg/wp-content/uploads/elementor/thumbs/Goroka-Airport-1-q8obtpbw8lsoc5nzv1y50x2aojtdxpb9yh3nkzd8s8.webp,CC-BY / CC0 (verify source),Wikimedia Commons or Local,glass,"green,modern"
airport,3361,https://tse1.mm.bing.net/th/id/OIP.psJfhrJ4d0X0fdg85POiwwHaEK?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"australia,glass"
airport,2006,https://tse2.mm.bing.net/th/id/OIP.ai4UTHI-wAbmyhWm_y3yCgHaE8?pid=Api&P=0&h=220,CC-BY / CC0 (verify source),Wikimedia Commons or Local,modern,"new zealand,maori,art"
